,id,type,counts
0,a-e-avatars-futurist-fantasy,overborrows,2
1,a-e-candle-vision,overborrows,2
2,a-e-collected-poems,overborrows,1
3,a-e-imaginations-reveries,longterm_borrows,1
4,a-e-imaginations-reveries,overborrows,4
5,a-e-interpreters-2,overborrows,1
6,a-e-living-torch,overborrows,1
7,a-e-song-fountains,overborrows,2
8,a-e-voices-stones,overborrows,2
9,abbe-around-world-eleven,overborrows,1
10,abc-language,unknown_borrows,1
11,abercrombie-principles-english-prosody,overborrows,1
12,abercrombie-thomas-hardy-critical,overborrows,1
13,abraham-lincoln,overborrows,1
14,abrams-milk-paradise-effect,overborrows,1
15,abrams-milk-paradise-effect,post1942_events,1
16,abrams-milk-paradise-effect,unknown_borrows,1
17,ackerley-hindoo-holiday,overborrows,3
18,adamic-cradle-life-story,overborrows,2
19,adamic-cradle-life-story,post1942_events,1
20,adams-education-henry-adams,overborrows,1
21,adams-empty-bed,overborrows,1
22,adams-knife,overborrows,1
23,adams-letters-henry-adams,overborrows,2
24,adams-life-william-shakespeare,overborrows,2
25,adams-life-writings-giambattista,overborrows,1
26,adams-march-democracy-history,overborrows,1
27,adams-mont-saint-michel,overborrows,1
28,adams-revelry,overborrows,1
29,adams-siege,overborrows,1
30,addison,overborrows,1
31,addison-spectator,overborrows,1
32,adrienne-monnier-front,post1942_events,1
33,aelfric-of-eynsham-selected-homilies-aelfric,overborrows,2
34,aeschylus-suppliant-maidens,overborrows,1
35,alcott-eight-cousins-aunt,post1942_events,1
36,alcott-jos-boys-turned,post1942_events,1
37,alcott-little-women,overborrows,1
38,alcott-little-women,post1942_events,2
39,alcott-little-women-little,post1942_events,1
40,alcott-rose-bloom,post1942_events,1
41,aldington-colonels-daughter,overborrows,3
42,aldington-colonels-daughter,post1942_events,1
43,aldington-colonels-daughter,sunday_shopers,1
44,aldington-death-hero,overborrows,6
45,aldington-heaven,overborrows,2
46,aldington-men-enemies,overborrows,3
47,aldington-men-enemies,sunday_shopers,1
48,aldington-seven-reeves-comedy,overborrows,3
49,aldington-soft-answers,overborrows,1
50,aldington-women-must-work,overborrows,3
51,aldrich-hilltop-marne,overborrows,1
52,allen-anthony-adverse,overborrows,2
53,allen-merry-go-round,overborrows,1
54,allingham-fashion-shrouds,overborrows,2
55,allingham-fashion-shrouds,sunday_shopers,1
56,allingham-flowers-judge,overborrows,1
57,american-civil-war,overborrows,1
58,american-drama,post1942_events,1
59,american-drama,unknown_borrows,1
60,american-history,overborrows,2
61,american-poetry,overborrows,1
62,amy-lowell,post1942_events,1
63,amy-lowell,unknown_borrows,1
64,anand-untouchable,overborrows,3
65,anand-untouchable,post1942_events,1
66,anand-untouchable,unknown_borrows,1
67,anatole-france,overborrows,1
68,andersen-fairy-tales-stories,overborrows,1
69,andersen-wild-swans,post1942_events,1
70,anderson-beyond-desire,overborrows,1
71,anderson-kit-brandon-portrait,overborrows,2
72,anderson-kit-brandon-portrait,unknown_borrows,1
73,anderson-many-marriages,overborrows,3
74,anderson-many-marriages,unknown_borrows,1
75,anderson-marching-men,overborrows,1
76,anderson-poor-white,overborrows,1
77,anderson-poor-white,post1942_events,1
78,anderson-story-tellers-story,overborrows,1
79,anderson-thieves-like-us,overborrows,1
80,anderson-triumph-egg,overborrows,2
81,anderson-triumph-egg,post1942_events,1
82,anderson-windy-mcphersons,overborrows,1
83,anderson-windy-mcphersons,post1942_events,1
84,anderson-winesburg-ohio-group,overborrows,2
85,andre-masson,post1942_events,1
86,andreyev-came-pass-king,overborrows,1
87,andreyev-excellency-governor,overborrows,1
88,andreyev-stars-drama-four,overborrows,1
89,angell-chaos-control,overborrows,1
90,angna-enters,overborrows,1
91,annees-vingt-ecrivains,post1942_events,1
92,annees-vingt-ecrivains,unknown_borrows,1
93,antheil-death-dark,overborrows,1
94,anthony-ballyhoo,overborrows,1
95,anthony-catherine-great,unknown_borrows,1
96,arens-playboy-portfolio-art,unknown_borrows,1
97,aristophanes-frogs,overborrows,1
98,aristotle-art-poetry,overborrows,1
99,aristotle-metaphysics,overborrows,1
100,arlen-crooked-coronet-misrepresentations,overborrows,1
101,arlen-flying-dutchman,overborrows,1
102,arlen-green-hat,overborrows,2
103,arlen-may-fair,overborrows,1
104,arlen-piracy,overborrows,1
105,arlen-young-men-love,overborrows,1
106,armstrong-groper,overborrows,1
107,arnim-adventures-elizabeth-rugen,overborrows,1
108,arnim-caravaners,overborrows,1
109,arnim-caravaners,sunday_shopers,1
110,arnim-enchanted-april,overborrows,3
111,arnim-introduction-sally,overborrows,2
112,arnim-jasmine-farm,overborrows,4
113,arnim-pastors-wife,overborrows,2
114,arnim-vera,overborrows,1
115,arthur-symons,overborrows,1
116,asbury-barbary-coast-informal,overborrows,1
117,asbury-crimson-rope,unknown_borrows,1
118,asbury-methodism,overborrows,1
119,asch-love-chartres,overborrows,1
120,asch-road-search-america,overborrows,2
121,asch-three-cities-trilogy,overborrows,1
122,asch-three-cities-trilogy,unknown_borrows,1
123,ashford-young-visiters-mister,overborrows,3
124,ashton-belinda-grove,overborrows,1
125,ashton-doctor-serocold,unknown_borrows,1
126,ashton-hornets-nest,overborrows,1
127,ashton-swan-usk-historical,overborrows,4
128,ashton-swan-usk-historical,post1942_events,3
129,ashton-wolfe-forgotten-clue,overborrows,1
130,asquith-black-cap-new,overborrows,1
131,asquith-duchess-york-intimate,overborrows,1
132,asquith-ghost-book-sixteen,overborrows,2
133,asquith-octavia,overborrows,1
134,atherton-adventures-novelist,overborrows,1
135,atherton-californians,overborrows,2
136,atkinson-inner-teachings-philosophies,overborrows,1
137,aubrey-fletcher-high-sheriff,overborrows,3
138,auden-another-time-poems,unknown_borrows,1
139,auden-ascent-f6,overborrows,3
140,auden-ascent-f6,post1942_events,1
141,auden-ascent-f6,sunday_shopers,1
142,auden-ascent-f6,unknown_borrows,1
143,auden-dog-beneath-skin,overborrows,4
144,auden-dog-beneath-skin,post1942_events,3
145,auden-frontier-melodrama-three,overborrows,2
146,auden-journey-war,overborrows,1
147,auden-letters-iceland,overborrows,7
148,auden-look-stranger,overborrows,1
149,auden-orators,unknown_borrows,1
150,auden-poems,overborrows,2
