item_id,term,type,source
malory-morte-darthur,Arthurian romances,subject,loc
more-utopia,Early works to 1800,genre,loc
more-utopia,Utopias,subject,loc
norton-gorboduc,Tragedies.,genre,loc
lyly-euphues-anatomy-wit,Fiction,genre,loc
lyly-euphues-anatomy-wit,Triangles (Interpersonal relations),subject,loc
lyly-euphues-anatomy-wit,Male friendship,subject,loc
spenser-shepheards-calendar,Poetry,genre,loc
spenser-shepheards-calendar,Knights and knighthood,subject,loc
spenser-shepheards-calendar,Virtues,subject,loc
greene-defence-conny-catching,Early works to 1800,genre,loc
greene-defence-conny-catching,Social life and customs,subject,loc
greene-defence-conny-catching,Crime,subject,loc
shakespeare-midsummers-nights-dream,drama,genre,loc
shakespeare-midsummers-nights-dream,Drama,genre,loc
shakespeare-midsummers-nights-dream,bibliography,genre,loc
shakespeare-midsummers-nights-dream,Man-woman relationships,subject,loc
shakespeare-midsummers-nights-dream,Fairy plays,subject,loc
shakespeare-midsummers-nights-dream,Courtship,subject,loc
sidney-apology-poetry,bibliography,genre,loc
sidney-apology-poetry,Poetry,subject,loc
shakespeare-loves-labours-lost,Drama,genre,loc
shakespeare-loves-labours-lost,Comedies.,genre,loc
shakespeare-loves-labours-lost,bibliography,genre,loc
shakespeare-loves-labours-lost,Princesses,subject,loc
shakespeare-loves-labours-lost,Courts and courtiers,subject,loc
bacon-advancement-learning,Early works to 1800,genre,loc
bacon-advancement-learning,"Knowledge, Theory of",subject,loc
bacon-advancement-learning,Logic,subject,loc
bacon-advancement-learning,Science,subject,loc
bacon-advancement-learning,Learning,subject,loc
webster-white-devil,text,genre,loc
webster-white-devil,Drama,genre,loc
webster-white-devil,bibliography,genre,loc
webster-white-devil,Revenge,subject,loc
burton-anatomy-melancholy,Early works to 1800,genre,loc
burton-anatomy-melancholy,Melancholy,subject,loc
descartes-geometrie,"Geometry, Analytic",subject,loc
browne-religio-medici,Early works to 1800,genre,loc
browne-religio-medici,Christian ethics,subject,loc
browne-religio-medici,Religion,subject,loc
browne-religio-medici,Christian life,subject,loc
browne-vulgar-errors-pseudodoxia,Early works to 1800,genre,loc
browne-vulgar-errors-pseudodoxia,Gardening,subject,loc
browne-vulgar-errors-pseudodoxia,Urn burial,subject,loc
browne-vulgar-errors-pseudodoxia,Antiquities,subject,loc
browne-vulgar-errors-pseudodoxia,English prose literature,subject,loc
browne-vulgar-errors-pseudodoxia,Physicians,subject,loc
browne-vulgar-errors-pseudodoxia,Christian ethics,subject,loc
hobbes-leviathan,Early works.,genre,loc
hobbes-leviathan,text,genre,loc
hobbes-leviathan,Early works to 1800,genre,loc
hobbes-leviathan,bibliography,genre,loc
hobbes-leviathan,Political science,subject,loc
hobbes-leviathan,Politische Philosophie,subject,loc
hobbes-leviathan,Edition,subject,loc
hobbes-leviathan,"State, The",subject,loc
milton-paradise-lost,Juvenile literature,genre,loc
milton-paradise-lost,text,genre,loc
milton-paradise-lost,Poetry,genre,loc
milton-paradise-lost,Fall of man,subject,loc
milton-paradise-lost,History of Biblical events,subject,loc
julian-revelations-divine-love,Early works to 1800,genre,loc
julian-revelations-divine-love,bibliography,genre,loc
julian-revelations-divine-love,Love,subject,loc
julian-revelations-divine-love,Mysticism,subject,loc
julian-revelations-divine-love,Private revelations,subject,loc
julian-revelations-divine-love,"Devotional literature, English (Middle)",subject,loc
bunyan-pilgrims-progress,Christian fiction.,genre,loc
bunyan-pilgrims-progress,Fiction,genre,loc
bunyan-pilgrims-progress,Christian pilgrims and pilgrimages,subject,loc
swift-tale-tub,text,genre,loc
swift-tale-tub,"Satire, English",subject,loc
swift-tale-tub,FICTION / Satire,subject,loc
pope-essay-criticism,bibliography,genre,loc
pope-rape-lock,Study guides,genre,loc
pope-rape-lock,bibliography,genre,loc
pope-rape-lock,Examinations,subject,loc
defoe-robinson-crusoe,Fiction,genre,loc
defoe-robinson-crusoe,Adventure stories.,genre,loc
defoe-robinson-crusoe,bibliography,genre,loc
defoe-robinson-crusoe,"Crusoe, Robinson (Fictitious character)",subject,loc
defoe-robinson-crusoe,Castaways,subject,loc
defoe-robinson-crusoe,Shipwreck survival,subject,loc
defoe-robinson-crusoe,Islands,subject,loc
defoe-journal-plague-year,Historical fiction.,genre,loc
defoe-journal-plague-year,text,genre,loc
defoe-journal-plague-year,Fiction,genre,loc
defoe-journal-plague-year,Plague,subject,loc
defoe-journal-plague-year,History,subject,loc
swift-gullivers-travels,Fiction,genre,loc
swift-gullivers-travels,Satire.,genre,loc
swift-gullivers-travels,Early works to 1800,genre,loc
swift-gullivers-travels,bibliography,genre,loc
swift-gullivers-travels,"Voyages, Imaginary",subject,loc
swift-gullivers-travels,Travelers,subject,loc
swift-gullivers-travels,Examinations,subject,loc
defoe-tour-england-wales,bibliography,genre,loc
defoe-tour-england-wales,Description and travel,subject,loc
gay-beggars-opera,bibliography,genre,loc
gay-beggars-opera,Ballad operas,subject,loc
gay-beggars-opera,English drama,subject,loc
richardson-familiar-letters-important,Early works to 1800,genre,loc
richardson-familiar-letters-important,bibliography,genre,loc
richardson-familiar-letters-important,Letter writing,subject,loc
fielding-joseph-andrews,Bildungsromans.,genre,loc
fielding-joseph-andrews,Adventure fiction.,genre,loc
fielding-joseph-andrews,Humorous fiction.,genre,loc
fielding-joseph-andrews,bibliography,genre,loc
fielding-joseph-andrews,Fiction,genre,loc
fielding-joseph-andrews,Male friendship,subject,loc
fielding-joseph-andrews,Household employees,subject,loc
