uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated,id,exceptional_types,exceptional_counts,original_uri
malory-morte-darthur,Le Morte d'Arthur,"Malory, Thomas",,,,,,1485.0,Book,False,https://archive.org/details/mortedarthur02malo,,,7,7,0,1930;1932;1937;1938;1939,2021-11-14T13:57:51.282365+00:00,malory-morte-darthur,['overborrows'],[2],https://shakespeareandco.princeton.edu/books/malory-morte-darthur/
more-utopia,Utopia,"More, Thomas",,,,,,1516.0,Book,False,https://archive.org/details/utopiamo00more,,,2,2,0,1930;1950;1951,2021-10-31T17:47:49.103296+00:00,more-utopia,"['overborrows', 'post1942_events']","[1, 1]",https://shakespeareandco.princeton.edu/books/more-utopia/
norton-gorboduc,Gorboduc,"Norton, Thomas",,,,,,1561.0,Book,False,,,,1,1,0,1950,2020-06-29T03:49:47+00:00,norton-gorboduc,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/norton-gorboduc/
lyly-euphues-anatomy-wit,Euphues: The Anatomy of Wit,"Lyly, John",,,,,,1578.0,Book,False,https://archive.org/details/cu31924013122084,,,1,1,0,1941,2021-06-05T15:37:07+00:00,lyly-euphues-anatomy-wit,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/lyly-euphues-anatomy-wit/
spenser-shepheards-calendar,The Shepheard's Calendar,"Spenser, Edmund",,,,,,1579.0,Book,False,https://archive.org/details/shepheardscalend0000spen,,,1,1,0,1941,2021-11-06T12:26:04.482734+00:00,spenser-shepheards-calendar,,0,https://shakespeareandco.princeton.edu/books/spenser-shepheards-calendar/
lodge-rosalynde-novel,Rosalynde: A Novel,"Lodge, Thomas",,,,,,1590.0,Book,False,https://archive.org/details/rosalynde00lodg,,,8,8,0,1939;1940;1941;1942,2021-11-07T18:38:23.667066+00:00,lodge-rosalynde-novel,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/lodge-rosalynde-novel/
greene-defence-conny-catching,The Defence of Conny-Catching,"Greene, Robert",,,,,,1592.0,Book,False,,,,2,2,0,1939;1940,2020-04-30T19:40:17+00:00,greene-defence-conny-catching,['overborrows'],[2],https://shakespeareandco.princeton.edu/books/greene-defence-conny-catching/
shakespeare-midsummers-nights-dream,A Midsummer's Night's Dream,"Shakespeare, William",,,,,,1595.0,Book,False,https://archive.org/details/midsummernightsd03shak,,,1,1,0,1940,2021-11-15T05:37:25.730819+00:00,shakespeare-midsummers-nights-dream,,0,https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/
sidney-apology-poetry,An Apology for Poetry,"Sidney, Philip",,,,,,1595.0,Book,False,,,,2,2,0,1934,2020-04-30T19:40:14+00:00,sidney-apology-poetry,,0,https://shakespeareandco.princeton.edu/books/sidney-apology-poetry/
shakespeare-loves-labours-lost,Love's Labour's Lost,"Shakespeare, William",,,,,,1598.0,Book,False,https://archive.org/details/loveslabourslost1901shak,,,1,1,0,1922,2021-10-26T03:07:33.750391+00:00,shakespeare-loves-labours-lost,,0,https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/
bacon-advancement-learning,The Advancement of Learning,"Bacon, Francis",,,,,,1605.0,Book,False,https://archive.org/details/in.ernet.dli.2015.272672,,,1,1,0,1937,2021-01-17T22:37:22+00:00,bacon-advancement-learning,,0,https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/
webster-white-devil,The White Devil,"Webster, John",,,,,,1612.0,Book,False,https://archive.org/details/whitedevilanddu01websgoog,,,1,1,0,1920;1919,2021-10-29T03:04:48.348811+00:00,webster-white-devil,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/webster-white-devil/
cervantes-don-quixote,Don Quixote,"Cervantes, Miguel de",,,,,,1615.0,Book,False,,,,1,1,0,1929,2020-06-15T01:58:49+00:00,cervantes-don-quixote,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/cervantes-don-quixote/
burton-anatomy-melancholy,The Anatomy of Melancholy,"Burton, Robert",,,,,,1621.0,Book,False,,,,1,0,0,1934,2020-04-30T19:40:17+00:00,burton-anatomy-melancholy,,0,https://shakespeareandco.princeton.edu/books/burton-anatomy-melancholy/
descartes-geometrie,La géométrie,"Descartes, René",,,,,,1637.0,Book,False,,,,1,1,0,1928,2020-07-19T20:15:00+00:00,descartes-geometrie,['sunday_shopers'],[1],https://shakespeareandco.princeton.edu/books/descartes-geometrie/
browne-religio-medici,Religio Medici,"Browne, Thomas",,,,,,1643.0,Book,False,https://archive.org/details/religiomedicioth00browiala/page/n10/mode/2up,1906 The Religio Medici &amp; Other Writings of Sir Thomas Browne;1922,"At least two editions of Religio Medici circulated in the lending library. Marie Boscq borrowed The Religio Medici and Other Writings of Sir Thomas Browne (Everyman's Library, 1906). Irene Wissotzky borrowed Religio Medici, edited by W. Murison (Pitt Press Series, Cambridge University Press, 1922).",5,5,0,1937;1939;1940;1941,2020-05-22T03:03:50+00:00,browne-religio-medici,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/browne-religio-medici/
browne-vulgar-errors-pseudodoxia,Vulgar Errors (Pseudodoxia Epidemica),"Browne, Thomas",,,,,,1646.0,Book,False,https://archive.org/details/b22650337_0002,,,2,2,0,1939,2020-07-22T14:20:55+00:00,browne-vulgar-errors-pseudodoxia,"['overborrows', 'sunday_shopers']","[1, 1]",https://shakespeareandco.princeton.edu/books/browne-vulgar-errors-pseudodoxia/
hobbes-leviathan,Leviathan,"Hobbes, Thomas",,,,,,1651.0,Book,False,https://archive.org/details/in.ernet.dli.2015.96315,,,2,2,0,1938,2021-07-20T01:32:11+00:00,hobbes-leviathan,['unknown_borrows'],[1],https://shakespeareandco.princeton.edu/books/hobbes-leviathan/
greville-sir-fulke-grevilles,Sir Fulke Greville's Life of Sir Philip Sidney,"Greville, Fulke",,,,,,1652.0,Book,False,https://archive.org/details/sirfulkegreville00grevrich,,,1,1,0,1937,2021-11-06T01:25:30.634944+00:00,greville-sir-fulke-grevilles,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/greville-sir-fulke-grevilles/
julian-revelations-divine-love,Revelations of Divine Love,"Julian, of Norwich",,,,,,1670.0,Book,False,https://archive.org/details/revelationsofdiv0000juli_q7m8/page/n7/mode/2up,,,1,1,0,1938,2021-11-08T05:32:36.018321+00:00,julian-revelations-divine-love,['unknown_borrows'],[1],https://shakespeareandco.princeton.edu/books/julian-revelations-divine-love/
bunyan-pilgrims-progress,The Pilgrim's Progress,"Bunyan, John",,,,,,1678.0,Book,False,https://archive.org/details/pilgrimsprogress04buny,,,3,3,0,1936;1938;1939,2021-11-09T21:45:53.900541+00:00,bunyan-pilgrims-progress,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/bunyan-pilgrims-progress/
butler-hudibras,Hudibras,"Butler, Samuel",,,,,,1684.0,Book,False,https://archive.org/details/butlerhudibras00butl,2 vols.,,1,1,0,1938,2021-07-11T19:44:54+00:00,butler-hudibras,['unknown_borrows'],[1],https://shakespeareandco.princeton.edu/books/butler-hudibras/
swift-tale-tub,A Tale of a Tub,"Swift, Jonathan",,,,,,1704.0,Book,False,https://archive.org/details/in.ernet.dli.2015.40202/page/n7/mode/2up,,,6,5,1,1924;1934;1938;1939;1941,2020-05-16T17:39:20+00:00,swift-tale-tub,"['overborrows', 'sunday_shopers']","[1, 1]",https://shakespeareandco.princeton.edu/books/swift-tale-tub/
pope-essay-criticism,An Essay on Criticism,"Pope, Alexander",,,,,,1711.0,Book,False,https://archive.org/details/anessayoncritic00popegoog,,,2,2,0,1928;1936,2021-06-05T15:12:26+00:00,pope-essay-criticism,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/pope-essay-criticism/
pope-rape-lock,The Rape of the Lock,"Pope, Alexander",,,,,,1712.0,Book,False,https://archive.org/details/rapelockandothe00popegoog,,,2,2,0,1920;1936,2021-11-08T14:12:28.591798+00:00,pope-rape-lock,['sunday_shopers'],[1],https://shakespeareandco.princeton.edu/books/pope-rape-lock/
defoe-robinson-crusoe,Robinson Crusoe,"Defoe, Daniel",,,,,,1719.0,Book,False,https://archive.org/details/lifestrangeadven01defo/page/n9/mode/2up,,,3,3,0,1928;1938;1941,2020-06-02T14:53:01+00:00,defoe-robinson-crusoe,['overborrows'],[2],https://shakespeareandco.princeton.edu/books/defoe-robinson-crusoe/
defoe-journal-plague-year,A Journal of the Plague Year,"Defoe, Daniel",,,,,,1722.0,Book,False,https://archive.org/details/journalofplagu00defo/page/n5/mode/2up,,,2,2,0,1939;1941,2020-06-02T14:12:59+00:00,defoe-journal-plague-year,['overborrows'],[2],https://shakespeareandco.princeton.edu/books/defoe-journal-plague-year/
defoe-moll-flanders,Moll Flanders,"Defoe, Daniel",,,,,,1722.0,Book,False,https://archive.org/details/fortunesmisfortu0007defo/page/n11/mode/2up,,,15,14,1,1926;1927;1930;1934;1935;1936;1938;1939;1940;1942,2020-06-02T14:27:02+00:00,defoe-moll-flanders,"['overborrows', 'post1942_events', 'unknown_borrows']","[3, 1, 2]",https://shakespeareandco.princeton.edu/books/defoe-moll-flanders/
defoe-moll-flanders-roxana,Moll Flanders and Roxana,"Defoe, Daniel",,,,,,1724.0,Book,False,https://archive.org/details/fortunesandmisfo00defouoft/page/n3/mode/2up,,,2,2,0,1929;1924,2021-11-14T15:17:31.577477+00:00,defoe-moll-flanders-roxana,,0,https://shakespeareandco.princeton.edu/books/defoe-moll-flanders-roxana/
