book,bookLabel,authorLabel,genres,firstPublication,sco_uri
http://www.wikidata.org/entity/Q1136104,Le Morte d'Arthur,Thomas Malory,chivalric romance,1485-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/malory-morte-darthur/
http://www.wikidata.org/entity/Q404158,Utopia,Thomas More,literature;political philosophy,,https://shakespeareandco.princeton.edu/books/more-utopia/
http://www.wikidata.org/entity/Q1038249,Gorboduc,Thomas Norton,,,https://shakespeareandco.princeton.edu/books/norton-gorboduc/
http://www.wikidata.org/entity/Q128610,Love's Labour's Lost,William Shakespeare,,1598-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/
http://www.wikidata.org/entity/Q7712425,The Advancement of Learning,Francis Bacon,,1605-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/
http://www.wikidata.org/entity/Q1117565,The White Devil,John Webster,revenge play,1612-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/webster-white-devil/
http://www.wikidata.org/entity/Q480,Don Quixote,Miguel de Cervantes,novela naturalista;novela naturalista;adventure novel;chivalric romance;adventure novel;chivalric romance,1605-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/cervantes-don-quixote/
http://www.wikidata.org/entity/Q469755,The Anatomy of Melancholy,Robert Burton,essay,1621-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/burton-anatomy-melancholy/
http://www.wikidata.org/entity/Q1771741,Religio Medici,Thomas Browne,,1643-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/browne-religio-medici/
http://www.wikidata.org/entity/Q193034,Leviathan,Thomas Hobbes,philosophical literature,1651-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/hobbes-leviathan/
http://www.wikidata.org/entity/Q19022854,Paradise Lost,John Milton,,1667-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/milton-paradise-lost/
http://www.wikidata.org/entity/Q268211,The Pilgrim's Progress,John Bunyan,allegory;science fiction novel,1678-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/bunyan-pilgrims-progress/
http://www.wikidata.org/entity/Q3142171,Hudibras,Samuel Butler,satire,,https://shakespeareandco.princeton.edu/books/butler-hudibras/
http://www.wikidata.org/entity/Q2353123,A Tale of a Tub,Jonathan Swift,novel;satire,1704-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/swift-tale-tub/
http://www.wikidata.org/entity/Q482427,An Essay on Criticism,Alexander Pope,essay,1711-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/pope-essay-criticism/
http://www.wikidata.org/entity/Q1823920,The Rape of the Lock,Alexander Pope,,1712-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/pope-rape-lock/
http://www.wikidata.org/entity/Q483034,Robinson Crusoe,Daniel Defoe,adventure novel;developmental novel;autobiography,1719-04-25 00:00:00,https://shakespeareandco.princeton.edu/books/defoe-robinson-crusoe/
http://www.wikidata.org/entity/Q89590159,A Journal of the Plague Year,Daniel Defoe,,1722-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/defoe-journal-plague-year/
http://www.wikidata.org/entity/Q612523,Moll Flanders,Daniel Defoe,crime novel,1722-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/defoe-moll-flanders/
http://www.wikidata.org/entity/Q29053405,Moll Flanders and Roxana,Daniel Defoe,,,https://shakespeareandco.princeton.edu/books/defoe-moll-flanders-roxana/
http://www.wikidata.org/entity/Q181488,Gulliver's Travels,Jonathan Swift,satirical novel;speculative fiction novel;science fiction novel;dystopian novel,1726-10-28 00:00:00,https://shakespeareandco.princeton.edu/books/swift-gullivers-travels/
http://www.wikidata.org/entity/Q784226,Joseph Andrews,Henry Fielding,comic novel,1742-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/fielding-joseph-andrews/
http://www.wikidata.org/entity/Q7712626,The Adventures of Roderick Random,Tobias Smollett,novel,1748-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/smollett-adventures-roderick-random/
http://www.wikidata.org/entity/Q2842656,Amelia,Henry Fielding,novel,,https://shakespeareandco.princeton.edu/books/fielding-amelia/
http://www.wikidata.org/entity/Q7712607,The Adventures of Peregrine Pickle,Tobias Smollett,novel,1751-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/smollett-adventures-peregrine-pickle/
http://www.wikidata.org/entity/Q24929084,The Life and Adventures of Peter Wilkins,Robert Paltock,adventure novel,1751-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/paltock-life-adventures-peter/
http://www.wikidata.org/entity/Q215894,Candide,Voltaire,Bildungsroman;novella,1759-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/voltaire-candide/
http://www.wikidata.org/entity/Q3419875,"The History of Rasselas, Prince of Abissinia",Samuel Johnson,apologue;novella,1759-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/johnson-history-rasselas-prince/
http://www.wikidata.org/entity/Q1164083,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,satirical novel,1759-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/sterne-life-opinions-tristram/
http://www.wikidata.org/entity/Q7747148,The Life and Adventures of Sir Launcelot Greaves,Tobias Smollett,novel,,https://shakespeareandco.princeton.edu/books/smollett-life-adventures-sir/
http://www.wikidata.org/entity/Q913599,"Emile, or On Education",Jean-Jacques Rousseau,treatise;education novel;philosophical novel,1762-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/rousseau-emile-education/
http://www.wikidata.org/entity/Q1196205,The Vicar of Wakefield,Oliver Goldsmith,novel,1766-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/goldsmith-vicar-wakefield/
http://www.wikidata.org/entity/Q3203413,The Expedition of Humphry Clinker,Tobias Smollett,epistolary novel,1771-06-17 00:00:00,https://shakespeareandco.princeton.edu/books/smollett-expedition-humphry-clinker/
http://www.wikidata.org/entity/Q843940,Common Sense,Thomas Paine,pamphlet;essay,1776-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/paine-common-sense/
http://www.wikidata.org/entity/Q313030,The History of the Decline and Fall of the Roman Empire,Edward Gibbon,non-fiction,1776-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/gibbon-history-decline-fall/
http://www.wikidata.org/entity/Q7714957,The Autobiography of Benjamin Franklin,Benjamin Franklin,memoir,1791-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/franklin-autobiography-benjamin-franklin/
http://www.wikidata.org/entity/Q2600909,The Mysteries of Udolpho,Ann Radcliffe,thriller novel;speculative fiction novel;horror novel;Gothic fiction;romance novel,1794-05-08 00:00:00,https://shakespeareandco.princeton.edu/books/radcliffe-mysteries-udolpho/
http://www.wikidata.org/entity/Q738958,Lyrical Ballads,William Wordsworth,,1798-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wordsworth-lyrical-ballads-poems/
http://www.wikidata.org/entity/Q59768992,The Lady of the Lake,Walter Scott,,t470178894,https://shakespeareandco.princeton.edu/books/scott-lady-lake/
http://www.wikidata.org/entity/Q2456670,The Lady of the Lake,Walter Scott,narrative poetry;poem,1810-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/scott-lady-lake/
http://www.wikidata.org/entity/Q274744,Sense and Sensibility,Jane Austen,Bildungsroman;romance novel,1811-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/austen-sense-sensibility/
