id,0,1
a-e-avatars-futurist-fantasy,['overborrows'],[2]
a-e-candle-vision,['overborrows'],[2]
a-e-collected-poems,['overborrows'],[1]
a-e-imaginations-reveries,"['longterm_borrows', 'overborrows']","[1, 4]"
a-e-interpreters-2,['overborrows'],[1]
a-e-living-torch,['overborrows'],[1]
a-e-song-fountains,['overborrows'],[2]
a-e-voices-stones,['overborrows'],[2]
abbe-around-world-eleven,['overborrows'],[1]
abc-language,['unknown_borrows'],[1]
abercrombie-principles-english-prosody,['overborrows'],[1]
abercrombie-thomas-hardy-critical,['overborrows'],[1]
abraham-lincoln,['overborrows'],[1]
abrams-milk-paradise-effect,"['overborrows', 'post1942_events', 'unknown_borrows']","[1, 1, 1]"
ackerley-hindoo-holiday,['overborrows'],[3]
adamic-cradle-life-story,"['overborrows', 'post1942_events']","[2, 1]"
adams-education-henry-adams,['overborrows'],[1]
adams-empty-bed,['overborrows'],[1]
adams-knife,['overborrows'],[1]
adams-letters-henry-adams,['overborrows'],[2]
adams-life-william-shakespeare,['overborrows'],[2]
adams-life-writings-giambattista,['overborrows'],[1]
adams-march-democracy-history,['overborrows'],[1]
adams-mont-saint-michel,['overborrows'],[1]
adams-revelry,['overborrows'],[1]
adams-siege,['overborrows'],[1]
addison,['overborrows'],[1]
addison-spectator,['overborrows'],[1]
adrienne-monnier-front,['post1942_events'],[1]
aelfric-of-eynsham-selected-homilies-aelfric,['overborrows'],[2]
aeschylus-suppliant-maidens,['overborrows'],[1]
alcott-eight-cousins-aunt,['post1942_events'],[1]
alcott-jos-boys-turned,['post1942_events'],[1]
alcott-little-women,"['overborrows', 'post1942_events']","[1, 2]"
alcott-little-women-little,['post1942_events'],[1]
alcott-rose-bloom,['post1942_events'],[1]
aldington-colonels-daughter,"['overborrows', 'post1942_events', 'sunday_shopers']","[3, 1, 1]"
aldington-death-hero,['overborrows'],[6]
aldington-heaven,['overborrows'],[2]
aldington-men-enemies,"['overborrows', 'sunday_shopers']","[3, 1]"
aldington-seven-reeves-comedy,['overborrows'],[3]
aldington-soft-answers,['overborrows'],[1]
aldington-women-must-work,['overborrows'],[3]
aldrich-hilltop-marne,['overborrows'],[1]
allen-anthony-adverse,['overborrows'],[2]
