ID,name,sort name,MEP id,Account Id,birth year,death year,gender,title,profession,is organization,Is Creator,Has Account,In Logbooks,Has Card,Subscription Dates,verified,updated at,Admin Link,VIAF id,Key,Gender,Nationality,Language,Birth Date,Death Date,LoC Name,LoC ID,LoC Source: URL,LofC URI: URL,VIAF Source: URL,BNE Name,BNE URL,BNF Name,BNF URL,DNB Name,DNB URL,ICCU Name,ICCU URL,ISNI Name,ISNI URL,Wikidata URL,Wikipedia URL,WorldCat Identity URL
7716,Patience Abbe,"Abbe, Patience",,,1924,2012,F,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2019-11-19T14:47:28+00:00,/admin/people/person/7716/change/,http://viaf.org/viaf/49129099/,http://viaf.org/viaf/49129099/,Female,FR - France,eng - English,,,"Abbe, Patience",names/nr96040432,https://lccn.loc.gov/c.gov/authorities/names/nr96040432,https://id.loc.gov/authorities/names/nr96040432,Permalink: http://viaf.org/viaf/49129099,,,,,,,,,"Abbe, Patience",http://isni.org/isni/0000000108982625,https://www.wikidata.org/entity/Q7144929#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Patience_Abbe,https:https://www.worldcat.org/identities/lccn-nr96040432
5842,Louisa May Alcott,"Alcott, Louisa May",,,1832,1888,F,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2019-11-19T14:47:28+00:00,/admin/people/person/5842/change/,http://viaf.org/viaf/29528997/,http://viaf.org/viaf/29528997/,Female,US - United States,eng - English,1832,1888,"Alcott, Louisa May, 1832-1888",names/n79117152,https://lccn.loc.gov/c.gov/authorities/names/n79117152,https://id.loc.gov/authorities/names/n79117152,Permalink: http://viaf.org/viaf/29528997,"Alcott, Louisa May 1832-1888",http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX934441,Alcott Louisa May 1832-1888,http://catalogue.bnf.fr/ark:/12148/cb11888346d,"Alcott, Louisa May 1832-1888",http://d-nb.info/gnd/118644475,"Alcott , Louisa May",http://id.sbn.it/af/IT\ICCU\CFIV\021389,"Alcott, Louisa M.",http://isni.org/isni/0000000121257727,https://www.wikidata.org/entity/Q185696#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Louisa_May_Alcott,https:https://www.worldcat.org/identities/lccn-n79117152
7306,Mildred Aldrich,"Aldrich, Mildred",,,1853,1928,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2019-11-19T14:47:28+00:00,/admin/people/person/7306/change/,http://viaf.org/viaf/71770133/,http://viaf.org/viaf/71770133/,Female,US - United States,,1853,1928,"Aldrich, Mildred, 1853-1928",names/n82094920,https://lccn.loc.gov/c.gov/authorities/names/n82094920,https://id.loc.gov/authorities/names/n82094920,Permalink: http://viaf.org/viaf/71770133,,,,,,,,,"Aldrich, Mildred",http://isni.org/isni/0000000109861470,https://www.wikidata.org/entity/Q6850929#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Mildred_Aldrich,https:https://www.worldcat.org/identities/lccn-n82094920
5429,Margery Allingham,"Allingham, Margery",,,1904,1966,F,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2019-11-19T14:47:28+00:00,/admin/people/person/5429/change/,http://viaf.org/viaf/61540821/,http://viaf.org/viaf/61540821/,Female,GB - United Kingdom,eng - English,1904,1966,"Allingham, Margery, 1904-1966",names/n50021032,https://lccn.loc.gov/c.gov/authorities/names/n50021032,https://id.loc.gov/authorities/names/n50021032,Permalink: http://viaf.org/viaf/61540821,,,Allingham Margery 1904-1966,http://catalogue.bnf.fr/ark:/12148/cb118885192,"Allingham, Margery 1904-1966",http://d-nb.info/gnd/118967606,"Allingham , Margery",http://id.sbn.it/af/IT\ICCU\CFIV\096503,"Allingham, Margery",http://isni.org/isni/0000000081402589,https://www.wikidata.org/entity/Q266205#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Margery_Allingham,https:https://www.worldcat.org/identities/lccn-n50021032
6092,Margaret C. Anderson,"Anderson, Margaret C.",,7150,1886,1973,F,,,FALSE,TRUE,TRUE,TRUE,FALSE,1926-07/??; 1927-10/??,FALSE,2020-09-22T15:50:01+00:00,/admin/people/person/6092/change/,http://viaf.org/viaf/31323380/,http://viaf.org/viaf/31323380/,Female,US - United States,eng - English,,,"Anderson, Margaret C.",names/n50021933,https://lccn.loc.gov/c.gov/authorities/names/n50021933,https://id.loc.gov/authorities/names/n50021933,Permalink: http://viaf.org/viaf/31323380,,,Anderson Margaret Carolyn 1886-1973,,"Anderson, Margaret C. 1886-1973",http://d-nb.info/gnd/118877089,,,"Anderson, Margaret C. 1886-1973",http://isni.org/isni/0000000117603690,https://www.wikidata.org/entity/Q531939#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Margaret_C._Anderson,https:https://www.worldcat.org/identities/lccn-n50021933
6779,Dodie Smith / C. L. Anthony (pseudonym),"Anthony, C. L.",,,1896,1990,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2020-12-05T15:08:23+00:00,/admin/people/person/6779/change/,http://viaf.org/viaf/101974269/,http://viaf.org/viaf/101974269/,Female,GB - United Kingdom,eng - English,1896,1990,"Smith, Dodie, 1896-1990",names/n50013954,https://lccn.loc.gov/c.gov/authorities/names/n50013954,https://id.loc.gov/authorities/names/n50013954,Permalink: http://viaf.org/viaf/101974269,"Smith, Dodie",http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX1124098,Smith Dodie 1896-1990,http://catalogue.bnf.fr/ark:/12148/cb119250234,"Smith, Dodie 1896-1990",http://d-nb.info/gnd/119438461,,,"Smith, Dodie",http://isni.org/isni/0000000114789717,https://www.wikidata.org/entity/Q449085#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Dodie_Smith,https:https://www.worldcat.org/identities/lccn-n50013954
7313,Katharine Susan Anthony,"Anthony, Katharine Susan",,,1877,1965,F,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2019-11-19T14:47:28+00:00,/admin/people/person/7313/change/,http://viaf.org/viaf/76685292/,http://viaf.org/viaf/76685292/,Female,US - United States,eng - English,1877,1965,"Anthony, Katharine Susan, 1877-1965",names/n50021299,https://lccn.loc.gov/c.gov/authorities/names/n50021299,https://id.loc.gov/authorities/names/n50021299,Permalink: http://viaf.org/viaf/76685292,,,,,"Anthony, Katharine S. 1877-1965",http://d-nb.info/gnd/101555318,,,"Anthony, Katharine",http://isni.org/isni/0000000110718604,https://www.wikidata.org/entity/Q6376152#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Katharine_Anthony,https:https://www.worldcat.org/identities/lccn-n50021299
6473,Elizabeth von Arnim,"Arnim, Elizabeth von",,,1866,1941,F,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2020-09-21T15:34:52+00:00,/admin/people/person/6473/change/,http://viaf.org/viaf/46778576/,http://viaf.org/viaf/46778576/,Female,GB - United Kingdom,eng - English,1866,1941,"Von Arnim, Elizabeth, 1866-1941",names/n81093301,https://lccn.loc.gov/c.gov/authorities/names/n81093301,https://id.loc.gov/authorities/names/n81093301,Permalink: http://viaf.org/viaf/46778576,Elizabeth 1866-1941,http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX899461,Von Arnim Elizabeth 1866-1941,http://catalogue.bnf.fr/ark:/12148/cb12042633c,"Von Arnim, Elizabeth 1866-1941",http://d-nb.info/gnd/118896105,"Von Arnim , Elizabeth",http://id.sbn.it/af/IT\ICCU\CFIV\093674,"Arnim, Elizabeth von 1866-1941",http://isni.org/isni/000000045570331X,https://www.wikidata.org/entity/Q76189#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Elizabeth_von_Arnim,https:https://www.worldcat.org/identities/lccn-n81093301
7159,Daisy Ashford,"Ashford, Daisy",,,1881,1972,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2019-11-19T14:47:28+00:00,/admin/people/person/7159/change/,http://viaf.org/viaf/4960997/,http://viaf.org/viaf/4960997/,Female,GB - United Kingdom,eng - English,,,"Ashford, Daisy",names/n82037127,https://lccn.loc.gov/c.gov/authorities/names/n82037127,https://id.loc.gov/authorities/names/n82037127,Permalink: http://viaf.org/viaf/4960997,,,Ashford Daisy 1881-1972,http://catalogue.bnf.fr/ark:/12148/cb12107858t,"Ashford, Daisy 1881-1972",http://d-nb.info/gnd/1033276154,,,"Ashford, Daisy 1881-1972",http://isni.org/isni/0000000121185874,https://www.wikidata.org/entity/Q3496447#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Daisy_Ashford,https:https://www.worldcat.org/identities/lccn-n82037127
6063,Helen Ashton,"Ashton, Helen",,,1891,1958,F,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,2019-11-19T14:47:28+00:00,/admin/people/person/6063/change/,http://viaf.org/viaf/74875203/,http://viaf.org/viaf/74875203/,Female,GB - United Kingdom,eng - English,1891,1958,"Ashton, Helen, 1891-1958",names/n50001988,https://lccn.loc.gov/c.gov/authorities/names/n50001988,https://id.loc.gov/authorities/names/n50001988,Permalink: http://viaf.org/viaf/74875203,,,Ashton Helen 1891-1958,http://catalogue.bnf.fr/ark:/12148/cb10881182w,,,"Ashton , Helen",http://id.sbn.it/af/IT\ICCU\CUBV\008736,"Ashton, Helen 1891-1958",http://isni.org/isni/0000000110712448,https://www.wikidata.org/entity/Q5701833#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Helen_Ashton,https:https://www.worldcat.org/identities/lccn-n50001988
