dates,interval,start,end,status
October 30 1927 to November 01 1927,2 days,1927-10-30,1927-11-01,skipped
January 01 1928 to February 29 1928,59 days,1928-01-01,1928-02-29,included
January 03 1930 to June 01 1930,149 days,1930-01-03,1930-06-01,included
August 01 1930 to December 31 1930,152 days,1930-08-01,1930-12-31,included
February 17 1931 to September 25 1932,586 days,1931-02-17,1932-09-25,included
February 07 1934 to February 08 1934,1 day,1934-02-07,1934-02-08,skipped
January 01 1935 to January 11 1935,10 days,1935-01-01,1935-01-11,skipped
December 29 1935 to January 01 1936,3 days,1935-12-29,1936-01-01,skipped
January 01 1937 to February 16 1938,411 days,1937-01-01,1938-02-16,included
May 06 1938 to October 20 1938,167 days,1938-05-06,1938-10-20,included
